source,seed,topic,rank,trimmed_family,full_family,same_at_rank
GLiM,7,4,5,Ni_Co_sulfides_arsenides,Native_elements_misc,False
GLiM,7,4,6,Skarn_calc_silicates,Sulfides_misc,False
GLiM,7,4,7,Other_silicates,Fe_sulfides,False
GLiM,7,4,8,Cu_sulfides_primary,Cu_sulfides_other,False
GLiM,7,4,9,Native_elements_misc,Other_silicates,False
GLiM,7,4,10,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
GLiM,7,5,1,Mo_sulfides,Fe_sulfides,False
GLiM,7,5,2,Sulfides_misc,Cu_sulfides_primary,False
GLiM,7,5,3,Cu_sulfides_other,Zn_sulfides,False
GLiM,7,5,4,Fe_sulfides,Carbonates,False
GLiM,7,5,5,Cu_sulfides_primary,Fe_oxides_hydroxides,False
GLiM,7,5,6,Carbonates,Cu_sulfides_supergene,False
GLiM,7,5,7,Native_elements_misc,Quartz,False
GLiM,7,5,8,Micas_sericite,Pb_sulfides,False
GLiM,7,5,9,Skarn_calc_silicates,Skarn_calc_silicates,True
GLiM,7,5,10,Other_silicates,Sulfates_other,False
GLiM,7,6,1,Cu_sulfides_primary,Zn_sulfides,False
GLiM,7,6,2,Zn_sulfides,Cu_sulfides_primary,False
GLiM,7,6,3,Pb_sulfides,Pb_sulfides,True
GLiM,7,6,4,Fe_sulfides,Fe_sulfides,True
GLiM,7,6,5,Barite,Quartz,False
GLiM,7,6,6,Quartz,Barite,False
GLiM,7,6,7,Au_Ag_native,Ni_Co_sulfides_arsenides,False
GLiM,7,6,8,Carbonates,Carbonates,True
GLiM,7,6,9,Micas_sericite,Au_Ag_native,False
